,name,f1,tn,fn,fp,tp,tnr,fnr,fpr,tpr
728,RNG,0.5052631578947369,43,47,47,48,0.4777777777777778,0.5222222222222223,0.49473684210526314,0.5052631578947369
729,RPD,0.42696629213483145,45,44,58,38,0.5056179775280899,0.4943820224719101,0.6041666666666666,0.3958333333333333
730,ROL,0.6583333333333333,24,63,19,79,0.27586206896551724,0.7241379310344828,0.19387755102040816,0.8061224489795918
731,RQI,0.6642599277978339,0,93,0,92,0.0,1.0,0.0,1.0
732,RMM,0.37500000000000006,16,13,17,9,0.5517241379310345,0.4482758620689655,0.6538461538461539,0.34615384615384615
733,ROK,0.575609756097561,39,53,34,59,0.42391304347826086,0.5760869565217391,0.3655913978494624,0.6344086021505376
734,RMCF,0.5221674876847291,35,73,24,53,0.32407407407407407,0.6759259259259259,0.3116883116883117,0.6883116883116883
735,ROSE,0.0,111,0,74,0,1.0,0.0,1.0,0.0
736,RRD,0.43137254901960786,65,37,50,33,0.6372549019607843,0.3627450980392157,0.6024096385542169,0.39759036144578314
737,RMED,0.0,66,0,49,0,1.0,0.0,1.0,0.0
738,RPM,0.43956043956043955,43,38,64,40,0.5308641975308642,0.4691358024691358,0.6153846153846154,0.38461538461538464
739,RLJ,0.5326633165829145,39,63,30,53,0.38235294117647056,0.6176470588235294,0.3614457831325301,0.6385542168674698
740,RRBI,0.5084745762711863,21,11,18,15,0.65625,0.34375,0.5454545454545454,0.45454545454545453
741,SBBX,0.26016260162601623,78,17,74,16,0.8210526315789474,0.17894736842105263,0.8222222222222222,0.17777777777777778
742,SAP,0.5610859728506788,26,71,26,62,0.26804123711340205,0.7319587628865979,0.29545454545454547,0.7045454545454546
743,RVT,0.6785714285714285,0,90,0,95,0.0,1.0,0.0,1.0
744,RYI,0.5654008438818565,15,79,24,67,0.1595744680851064,0.8404255319148937,0.26373626373626374,0.7362637362637363
745,RVI,0.6122448979591837,0,76,0,60,0.0,1.0,0.0,1.0
746,SAN,0.4367816091954023,49,52,46,38,0.48514851485148514,0.5148514851485149,0.5476190476190477,0.4523809523809524
747,RYTM,0.6397058823529411,0,98,0,87,0.0,1.0,0.0,1.0
748,SBR,0.0,105,0,80,0,1.0,0.0,1.0,0.0
749,SCPL,0.5714285714285715,5,36,0,24,0.12195121951219512,0.8780487804878049,0.0,1.0
750,SBLKZ,0.06896551724137931,97,8,73,3,0.9238095238095239,0.0761904761904762,0.9605263157894737,0.039473684210526314
751,SCPH,0.0,96,0,89,0,1.0,0.0,1.0,0.0
752,SCHW,0.6642599277978339,0,93,0,92,0.0,1.0,0.0,1.0
753,SBGI,0.5048543689320388,31,76,26,52,0.2897196261682243,0.7102803738317757,0.3333333333333333,0.6666666666666666
754,SCD,0.5303867403314917,52,43,42,48,0.5473684210526316,0.45263157894736844,0.4666666666666667,0.5333333333333333
755,SDPI,0.5930232558139535,0,70,0,51,0.0,1.0,0.0,1.0
756,SEAC,0.0,92,0,93,0,1.0,0.0,1.0,0.0
757,SCCO,0.6545454545454547,0,95,0,90,0.0,1.0,0.0,1.0
758,SBT,0.29508196721311475,81,26,60,18,0.7570093457943925,0.24299065420560748,0.7692307692307693,0.23076923076923078
759,SBRA,0.0,98,0,87,0,1.0,0.0,1.0,0.0
760,SCWX,0.35714285714285715,70,32,58,25,0.6862745098039216,0.3137254901960784,0.6987951807228916,0.30120481927710846
761,SGBX,0.0,115,0,70,0,1.0,0.0,1.0,0.0
